iter	Passed	Remaining
956	35551	1597
957	35577	1559
958	35609	1522
959	35652	1485
960	35709	1449
961	35756	1412
962	35790	1375
963	35937	1342
964	35965	1304
965	35999	1267
966	36035	1229
967	36161	1195
968	36327	1162
969	36375	1125
970	36419	1087
971	36452	1050
972	36486	1012
973	36512	974
974	36562	937
975	36601	900
976	36658	862
977	36717	825
978	36755	788
979	36822	751
980	36884	714
981	36924	676
982	36971	639
983	37005	601
984	37029	563
985	37051	526
986	37080	488
987	37105	450
988	37132	413
989	37162	375
990	37195	337
991	37226	300
992	37241	262
993	37280	225
994	37303	187
995	37327	149
996	37369	112
997	37409	74
998	37438	37
999	37487	0
